Image_link,Name,Rating,Price,Discount
,SanDisk Ultra Curve 256 GB Pen Drive,4.3,"₹1,699",29% off
,SanDisk Ultra Shift USB 3.0 64 GB Pen Drive,4.2,₹449,43% off
,SanDisk SDDDC2-064G-I35 64 GB OTG Drive,4.3,₹749,42% off
,SanDisk Ultra Luxe USB 3.1 64 GB Pen Drive,4.2,₹709,35% off
,Acer UM310 256 GB Pen Drive,4.1,"₹3,395",50% off
,HP V220J 2 IN 1 OTG FREE 128 GB Pen Drive,3.6,₹416,76% off
,HP 128 GB Pendrive High Speed 2.0/3.0 Go USB 128 GB OTG...,3.8,₹416,71% off
,HP Na 64 GB Pen Drive,3.9,₹369,47% off
,SanDisk Ultra Curve 256 Pen Drive,4.3,"₹1,699",50% off
,HP V22OW 64 GB Pen Drive 64 GB Pen Drive,3.8,₹402,42% off
,SanDisk Ultra Curve 256 GB Pen Drive,4.3,"₹1,699",39% off
,SanDisk Ultra Shift USB 3.0 128 GB Pen Drive,4.1,₹799,42% off
,SanDisk Ultra Shift USB 3.0 128 GB Pen Drive,4.1,₹799,42% off
,HP V22OW 64 GB Pen Drive,3.8,₹799,2% off
,HP 2IN1 OTG FREE V220Y 128 GB Pen Drive,3.6,₹392,58% off
,HP V220W 128GB Flash Drive 128 GB Pen Drive,3.7,₹420,73% off
,SanDisk SDCZ73-128G-I35 128 Pen Drive,4.2,₹859,42% off
,SanDisk SDDDC3-256G-I35NBB / Mobile Dual Drive / 400 Mb...,4.2,"₹2,059",37% off
,SanDisk Ultra Shift USB 3.0 256 GB Pen Drive,4.2,"₹1,699",39% off
,HP V220 OTG 2IN 1 FREE 128 GB Pen Drive,3.7,₹400,59% off
,SanDisk Ultra Shift USB 3.0 256 GB Pen Drive,4.2,"₹1,699",39% off
,HP v250w 128 GB Pen Drive,4,₹636,36% off
,SanDisk SDDDC3-256G-I35AG / Mobile Dual Drive / 400 Mbs...,4.2,"₹2,059",37% off
,HP V220q 128 GB Pen Drive,4.1,₹399,60% off
,SanDisk Ultra Shift USB 3.0 256 GB Pen Drive,4.2,"₹1,699",39% off
,SanDisk Ultra Shift USB 3.0 512 GB Pen Drive,3.7,"₹3,499",36% off
,HP v220w 2IN OTG 128 GB Pen Drive,3.8,₹424,56% off
,HP v236W 128 GB Pen Drive,4,₹729,75% off
,HP V220g OTG 2IN1 128 GB Pen Drive,3.6,₹444,75% off
,SanDisk DUAL DRIVE GO USD TYPE-C 128 GB OTG Drive,4.1,"₹1,345",35% off
,HP 128gb Pendrive 2in1 Otg Free 128 GB OTG Drive,3.6,₹405,68% off
,HP V215W 64 GB Pen Drive,3.9,₹415,48% off
,HP v250 128 GB Pen Drive,3.7,₹799,32% off
,SanDisk Ultra Shift USB 3.0 512 GB Pen Drive,3.7,"₹3,499",36% off
,SanDisk SDDDC3-256G-I35L / Mobile Dual Drive / 400 Mbs ...,4.2,"₹2,059",37% off
,SanDisk Ultra Luxe USB 3.1 256 GB Pen Drive,4.3,"₹1,899",40% off
,SanDisk SDDDC3-064G-I35NB 64 GB OTG Drive,4.2,₹974,18% off
,SanDisk iXpand Flash Drive Flip 128 GB OTG Drive,4.2,"₹3,129",53% off
,HP A1+xyz 64 GB Pen Drive,3.6,₹371,41% off
,SanDisk SDDDC3-128G-I35PC 128 GB OTG Drive,4.2,"₹1,099",56% off
,SanDisk iXpand Flash Drive Flip 256 GB OTG Drive,4.3,"₹5,149",39% off
